top_area_pct	n_validation	n_captured	capture_rate	expected_random_rate	lift_vs_random	opportunity_capture_rate	lift_vs_opportunity
10	27	3	0.1111111111111111	0.1	1.111111111111111	0.07407407407407407	1.5
20	27	8	0.2962962962962963	0.2	1.4814814814814814	0.14814814814814814	2.0
30	27	11	0.4074074074074074	0.3	1.3580246913580247	0.3333333333333333	1.2222222222222223
40	27	16	0.5925925925925926	0.4	1.4814814814814814	0.5555555555555556	1.0666666666666667
50	27	16	0.5925925925925926	0.5	1.1851851851851851	0.7037037037037037	0.8421052631578947
60	27	19	0.7037037037037037	0.6	1.1728395061728396	0.7407407407407407	0.9500000000000001
70	27	21	0.7777777777777778	0.7	1.1111111111111112	0.7777777777777778	1.0
80	27	23	0.8518518518518519	0.8	1.0648148148148147	0.9259259259259259	0.92
90	27	27	1.0	0.9	1.1111111111111112	0.9259259259259259	1.08
100	27	27	1.0	1.0	1.0	1.0	1.0
